Mes,Periodo,IDEAC,PIB,Riesgo_Pais,Tasa_Desempleo,IPCO,Oil,TAR,CreditoVivienda,SalarioReal,IPC,CreditoProductivo,CreditoMicro
10,2019,157.241661087761,17824048,789,4.94752947957236,249.99,57.27,8.79,91.44011565000001,499.1318664550781,105.96897888183594,174.06723022460938,356.346435546875
10,2020,148.93583538578,16532359,1029,6.13060454320743,244.37,39.9,8.96,92.92143730000006,522.855224609375,104.27196502685547,231.30242919921875,418.1298828125
11,2012,150.971462230982,16294042,829,4.121378021514046,238.62,101.17,8.17,NA,306.4750671386719,94.706817626953125,NA,NA
11,2013,160.363580511179,17153556,539,4.152820888260583,236.02,102.63,8.17,NA,355.3655700683594,96.88636779785156,NA,NA
11,2014,164.655849329249,17779201,550,3.80030569926883,237.55,76.99,8.13,NA,391.597900390625,100.528564453125,NA,NA
11,2015,150.64238717244,17328633,1207,4.772834905249548,242.97,43.11,9.22,42.23965383,410.6707763671875,103.94768524169922,26.712480545043945,187.7540740966797
11,2016,154.43419186452,17470434,736,5.212602946272492,232.76,45.26,8.38,57,434.4375915527344,105.04411315917969,104.0999984741211,251.8000030517578
11,2017,156.436860095082,17952383,507,4.623650844370063,235.07,59.93,7.79,83.44577212999998,457.107177734375,104.81586456298828,143.0021514892578,308.1287841796875
11,2018,161.927222964559,18083933,740,3.6887066219644518,238,62.32,8.47,107.79514863999998,482.6188049316406,105.17913818359375,74.45619201660156,364.9732360839844
11,2019,154.624278195158,17824048,1146,3.8416174154157696,243.93,60.4,8.68,90.03643198000006,502.66912841796875,105.22328186035156,103.12700653076172,399.1519775390625
11,2020,150.79818623901,16532359,1065,4.96035497492615,245.3,42.3,8.83,72.132446,522.90093994140625,104.26285552978516,368.3734130859375,346.47320556640625
12,2012,150.787794312905,16294042,826,5.00268743264189,238.66,101.19,8.17,NA,307.0455017089844,94.53086853027344,NA,NA
12,2013,162.203325561856,17153556,530,4.86222373248972,236.18,105.48,8.17,NA,354.6438903808594,97.083526611328125,NA,NA
12,2014,163.946948093206,17654073,883,4.54164515074893,237.86,60.7,8.19,NA,391.1490173339844,100.64392852783203,NA,NA
12,2015,149.239859157962,17328633,1266,5.64680620209289,244.17,36.57,9.12,47.14191366,410.283447265625,104.04581451416016,14.885235786437988,204.00314331054687
12,2016,155.550400004891,17470434,647,6.51736905214298,234.63,52.62,8.1,72.62752627,433.74884033203125,105.2109146118164,101.25443267822266,263.2925720214844
12,2017,157.353357522305,17952383,459,5.81935793893135,235.65,61.19,7.83,89.33966424000002,456.288330078125,105.00395965576172,80.93709564208984,306.3043212890625
12,2018,161.79051682,18083933,826,4.8031971229326,239.15,53.96,8.69,96.43717198000004,482.1406555175781,105.28345489501953,109.2195816040039,325.6266784667969
12,2019,151.642749698282,17824048,826,4.94752947957236,243.9,63.35,8.78,97.18906706999998,502.7102966308594,105.21466827392578,148.22865295410156,369.1941223144531
12,2020,152.70437974,16532359,1062,4.90468513,245.95,48.73,8.5,106.04238080999997,523.05059814453125,104.23302459716797,421.3127746582031,376.2120361328125
1,2020,148.7,17627306,1018,6.63709554591167,244.23,61.63,8.68,74.05196287,516.99688720703125,105.4535140991211,91.01983642578125,351.66436767578125
2,2020,145.88,17627306,1455,NA,243.96,53.35,8.81,68.86099286000001,517.7965087890625,105.2906723022461,151.85671997070312,346.03912353515625
3,2020,143.57,17627306,4553,6.63709554591167,244,32.2,8.77,40.6095954,516.77618408203125,105.49856567382812,89.53327941894531,194.87364196777344
4,2020,142.07,15709655,5129,NA,244.02,21.04,8.4,9.35229764,511.6462707519531,106.55632019042969,23.00144386291504,37.104183197021484
5,2020,141.52,15709655,3907,6.63709554591167,243.73,30.38,8.98,14.712121790000005,512.97991943359375,106.27928924560547,30.380624771118164,88.08101654052734
6,2020,141.92,15709655,3373,NA,243.05,39.46,9.1,40.684243069999994,516.1793212890625,105.62055206298828,85.402618408203125,266.6415710449219
2,2021,156.8,16644748.98,1226,5.42846975876867,250.65,60.46,8.38,80.9,522.00347900390625,104.4421157836914,149,385.6000061035156
3,2021,159.3,16644748.98,1201,4.87482689110441,252.27,63.83,8.12,102.8,521.0894775390625,104.62529754638672,129.60000610351562,493.8999938964844
4,2021,160.8,17025200,764,5.11544441,255.48,62.95,8.28,73.4,519.27618408203125,104.99064636230469,101.5999984741211,391.8999938964844
5,2021,161.9,17025200,735,6.32795073,261.24,66.4,9.33,85.8,518.84381103515625,105.0781478881836,1166.300048828125,447.70001220703125
6,2021,163.8,17025200,776,5.12291642,263.48,71.8,8.06,110.9,519.756591796875,104.89361572265625,1325.5,522.9000244140625
7,2021,165.5,17379049,790,5.15475576,265.28,72.49,8.12,103.3,517.035888671875,105.44557189941406,1302.629638671875,524.1014404296875
8,2021,167.1,17379049,751,4.85975685,266.16,67.73,7.87,104.1,516.439453125,105.56735229492187,1439.6734619140625,553.61883544921875
9,2021,169.4,17379049,835,4.86418673,267.7,71.65,7.57,106,516.35845947265625,105.58390808105469,1320.402587890625,561.54351806640625
10,2021,171.4,NA,847,4.57475398,269.65,81.48,7.49,111.9,515.28558349609375,105.80374145507812,1242.5565185546875,562.41815185546875
11,2021,NA,NA,891,4.41206788,273.49,79.15,7.64,107.9,513.43963623046875,106.18413543701172,1346.2655029296875,552.2847900390625
12,2021,NA,NA,869,4.14654996,274.16,71.71,7.44,NA,513.09307861328125,106.25585174560547,NA,NA
1,2022,NA,NA,NA,NA,NA,82.65,7.39,NA,NA,NA,NA,NA
